"Plot Title: Ischua 3"
"#","Date Time, GMT-05:00","Abs Pres, psi (LGR S/N: 22063090, SEN S/N: 22063090, LBL: press)","Temp, °F (LGR S/N: 22063090, SEN S/N: 22063090, LBL: temp)","Coupler Detached (LGR S/N: 22063090)","Coupler Attached (LGR S/N: 22063090)","Host Connected (LGR S/N: 22063090)","Stopped (LGR S/N: 22063090)","End Of File (LGR S/N: 22063090)"
1,01/14/26 11:15:00 AM,14.3012,71.683,Logged,,,,
2,01/14/26 11:15:30 AM,14.2996,71.683,,,,,
3,01/14/26 11:16:00 AM,14.2983,71.856,,,,,
4,01/14/26 11:16:30 AM,14.3014,71.856,,,,,
5,01/14/26 11:17:00 AM,14.2999,71.856,,,,,
6,01/14/26 11:17:30 AM,14.2999,71.856,,,,,
7,01/14/26 11:18:00 AM,14.3014,71.856,,,,,
8,01/14/26 11:18:30 AM,14.3014,71.856,,,,,
9,01/14/26 11:19:00 AM,14.2983,71.856,,,,,
10,01/14/26 11:19:30 AM,14.3014,71.856,,,,,
11,01/14/26 11:20:00 AM,14.2999,71.856,,,,,
12,01/14/26 11:20:30 AM,14.2999,71.856,,,,,
13,01/14/26 11:21:00 AM,14.6137,71.683,,,,,
14,01/14/26 11:21:30 AM,14.6108,70.995,,,,,
15,01/14/26 11:22:00 AM,14.6127,70.308,,,,,
16,01/14/26 11:22:30 AM,14.6115,69.622,,,,,
17,01/14/26 11:23:00 AM,14.6123,69.107,,,,,
18,01/14/26 11:23:30 AM,14.6144,68.592,,,,,
19,01/14/26 11:24:00 AM,14.6136,68.077,,,,,
20,01/14/26 11:24:30 AM,14.6146,67.735,,,,,
21,01/14/26 11:25:00 AM,14.6140,67.392,,,,,
22,01/14/26 11:25:30 AM,14.6133,67.050,,,,,
23,01/14/26 11:26:00 AM,14.6114,66.879,,,,,
24,01/14/26 11:26:30 AM,14.6124,66.537,,,,,
25,01/14/26 11:27:00 AM,14.6137,66.366,,,,,
26,01/14/26 11:27:30 AM,14.6118,66.193,,,,,
27,01/14/26 11:28:00 AM,14.6131,66.022,,,,,
28,01/14/26 11:28:30 AM,14.6144,65.851,,,,,
29,01/14/26 11:29:00 AM,14.6124,65.680,,,,,
30,01/14/26 11:29:30 AM,14.6173,65.680,,,,,
31,01/14/26 11:30:00 AM,14.6137,65.509,,,,,
32,01/14/26 11:30:30 AM,14.6134,65.338,,,,,
33,01/14/26 11:31:00 AM,14.6134,65.338,,,,,
34,01/14/26 11:31:30 AM,14.6131,65.167,,,,,
35,01/14/26 11:32:00 AM,14.6131,65.167,,,,,
36,01/14/26 11:32:30 AM,14.6144,64.996,,,,,
37,01/14/26 11:33:00 AM,14.6128,64.996,,,,,
38,01/14/26 11:33:30 AM,14.6141,64.825,,,,,
39,01/14/26 11:34:00 AM,14.6126,64.825,,,,,
40,01/14/26 11:34:30 AM,14.6141,64.825,,,,,
41,01/14/26 11:35:00 AM,14.6107,64.652,,,,,
42,01/14/26 11:35:30 AM,14.6123,64.652,,,,,
43,01/14/26 11:36:00 AM,14.6091,64.652,,,,,
44,01/14/26 11:36:30 AM,14.6120,64.481,,,,,
45,01/14/26 11:37:00 AM,14.6104,64.481,,,,,
46,01/14/26 11:37:30 AM,14.6104,64.481,,,,,
47,01/14/26 11:38:00 AM,14.6104,64.481,,,,,
48,01/14/26 11:38:30 AM,14.6117,64.310,,,,,
49,01/14/26 11:39:00 AM,14.6101,64.310,,,,,
50,01/14/26 11:39:30 AM,14.6101,64.310,,,,,
51,01/14/26 11:40:00 AM,14.6101,64.310,,,,,
52,01/14/26 11:40:30 AM,14.6101,64.310,,,,,
53,01/14/26 11:41:00 AM,14.6097,64.139,,,,,
54,01/14/26 11:41:30 AM,14.6033,64.139,,,,,
55,01/14/26 11:42:00 AM,14.2927,64.139,,,,,
56,01/14/26 11:42:30 AM,14.2943,64.139,,,,,
57,01/14/26 11:43:00 AM,14.2943,64.139,,,,,
58,01/14/26 11:43:30 AM,14.2930,64.310,,,,,
59,01/14/26 11:44:00 AM,14.2930,64.310,,,,,
60,01/14/26 11:44:30 AM,14.2901,64.481,,,,,
61,01/14/26 11:45:00 AM,14.2917,64.481,,,,,
62,01/14/26 11:45:30 AM,14.2920,64.652,,,,,
63,01/14/26 11:46:00 AM,14.2920,64.652,,,,,
64,01/14/26 11:46:30 AM,14.2907,64.825,,,,,
65,01/14/26 11:47:00 AM,14.2923,64.825,,,,,
66,01/14/26 11:47:30 AM,14.2926,64.996,,,,,
67,01/14/26 11:48:00 AM,14.2926,64.996,,,,,
68,01/14/26 11:48:30 AM,14.2929,65.167,,,,,
69,01/14/26 11:49:00 AM,14.2929,65.167,,,,,
70,01/14/26 11:49:30 AM,14.2933,65.338,,,,,
71,01/14/26 11:50:00 AM,14.2933,65.338,,,,,
72,01/14/26 11:50:30 AM,14.2920,65.509,,,,,
73,01/14/26 11:51:00 AM,14.2952,65.509,,,,,
74,01/14/26 11:51:30 AM,14.2939,65.680,,,,,
75,01/14/26 11:52:00 AM,14.2942,65.851,,,,,
76,01/14/26 11:52:30 AM,14.2948,66.193,,,,,
77,01/14/26 11:52:32 AM,,,,Logged,,,
78,01/14/26 11:52:38 AM,,,,,Logged,,
79,01/14/26 11:52:54 AM,,,,,,Logged,Logged
